source_table,source,number,name,address,type_raw,type,region,contract_number,monthly_maintenance_required,notes,lat,lng,map_precision,map_matched,color
2,Приложение 3 / перечень ОС-ОТС,1,"Объект ""Гаражи"" Транспортный участок №2","г. Черняховск, ул. Дачная, 30А",ОС/ ОТС,OS_OTS,г. Черняховск,10944505,True,"Из договора 10944505, таблица 2",54.633971,21.818459,settlement_approx,черняховск,#38bdf8
2,Приложение 3 / перечень ОС-ОТС,2,Отдел эксплуатации гражданских объектов и материально-технического обеспечения. ОПТС-6,"г. Калининград, ул. Багратиона, 111",ОС/ ОТС,OS_OTS,г. Калининград,10944505,True,"Из договора 10944505, таблица 2",54.717141,20.451812,settlement_approx,калининград,#38bdf8
2,Приложение 3 / перечень ОС-ОТС,3,Транспортный участок № 2,"г. Советск, ул. А. Невского, 28б",ОС/ ОТС,OS_OTS,г. Советск,10944505,True,"Из договора 10944505, таблица 2",55.0749,21.871829,settlement_approx,советск,#38bdf8
2,Приложение 3 / перечень ОС-ОТС,4,ОУП № 03205-ТРП,"г. Советск, Жилинское шоссе, д. 28 б",ОС,OS,г. Советск,10944505,True,"Из договора 10944505, таблица 2",55.087112,21.877618,settlement_approx,советск,#22c55e
2,Приложение 3 / перечень ОС-ОТС,5,"ПС 95/3 ""Дунайская""","г. Калининград ул.Дунайская, д. 16 кв.1",ОС,OS,г. Калининград ул,10944505,True,"Из договора 10944505, таблица 2",54.7098,20.450259,settlement_approx,калининград,#22c55e
2,Приложение 3 / перечень ОС-ОТС,6,"ПС ""Чкаловск""","г. Чкаловск, ул. Докука, д. 5",ОС,OS,г. Чкаловск,10944505,True,"Из договора 10944505, таблица 2",54.760659,20.389353,settlement_approx,чкаловск,#22c55e
2,Приложение 3 / перечень ОС-ОТС,7,"ТУЭС  "" Чайковского"", транспортный участок.","г. Калининград, Чайковского, д. 41",ОС/ ОТС,OS_OTS,г. Калининград,10944505,True,"Из договора 10944505, таблица 2",54.702671,20.460353,settlement_approx,калининград,#38bdf8
2,Приложение 3 / перечень ОС-ОТС,8,"ПСК ""Горького""","г. Калининград, ул. Горького, д. 25",ОС,OS,г. Калининград,10944505,True,"Из договора 10944505, таблица 2",54.701612,20.461129,settlement_approx,калининград,#22c55e
2,Приложение 3 / перечень ОС-ОТС,9,"ПС ""Московская""","г. Калининград, Московский пр-кт, д. 116",ОС,OS,г. Калининград,10944505,True,"Из договора 10944505, таблица 2",54.712765,20.450753,settlement_approx,калининград,#22c55e
2,Приложение 3 / перечень ОС-ОТС,10,"ПСК ""Гайдара""","г. Калининград, ул. Гайдара, д. 129а",ОС,OS,г. Калининград,10944505,True,"Из договора 10944505, таблица 2",54.701612,20.454212,settlement_approx,калининград,#22c55e
2,Приложение 3 / перечень ОС-ОТС,11,"ПС ""Толстикова""","г. Калининград, ул. Толстикова, д. 67",ОС,OS,г. Калининград,10944505,True,"Из договора 10944505, таблица 2",54.714106,20.456894,settlement_approx,калининград,#22c55e
2,Приложение 3 / перечень ОС-ОТС,12,"ПСК ""Павлова""","г. Калининград, ул. ген. Павлова, д. 26",ОС,OS,г. Калининград,10944505,True,"Из договора 10944505, таблица 2",54.709306,20.451318,settlement_approx,калининград,#22c55e
2,Приложение 3 / перечень ОС-ОТС,13,"ПС ""Киевская""","г. Калининград, ул. Киевская, д. 86 к. 2",ОС,OS,г. Калининград,10944505,True,"Из договора 10944505, таблица 2",54.701965,20.457459,settlement_approx,калининград,#22c55e
2,Приложение 3 / перечень ОС-ОТС,14,"ПС ""Косогорная""","г. Калининград, ул. Косогорная, д. 2",ОС,OS,г. Калининград,10944505,True,"Из договора 10944505, таблица 2",54.703306,20.452871,settlement_approx,калининград,#22c55e
2,Приложение 3 / перечень ОС-ОТС,15,АТС г. Неман. .,"г. Неман. Ул. Победы, д. 37.",ОС,OS,г. Неман,10944505,True,"Из договора 10944505, таблица 2",55.037359,22.019024,settlement_approx,неман,#22c55e
2,Приложение 3 / перечень ОС-ОТС,16,"АТС ""Космодемьянский""","п. Космодемьянский, ул.Лужская, д. 12",ОС,OS,п. Космодемьянский,10944505,True,"Из договора 10944505, таблица 2",54.736306,20.346212,settlement_approx,космодемьянский,#22c55e
2,Приложение 3 / перечень ОС-ОТС,17,"Атс, ТУЭС  диезельная, склады МТО","г. Калининград, ул. Багратиона, д. 111",ОС,OS,г. Калининград,10944505,True,"Из договора 10944505, таблица 2",54.710153,20.459224,settlement_approx,калининград,#22c55e
2,Приложение 3 / перечень ОС-ОТС,18,"РРС ""Советский""","г. Калининград, Советский пр-т, д. 40 А.",ОС,OS,г. Калининград,10944505,True,"Из договора 10944505, таблица 2",54.7074,20.458235,settlement_approx,калининград,#22c55e
2,Приложение 3 / перечень ОС-ОТС,19,АТС «Зеленоградск»,"г. Зеленоградск, ул., Лермонтова, д. 12",ОС/ ОТС,OS_OTS,г. Зеленоградск,10944505,True,"Из договора 10944505, таблица 2",54.951847,20.475129,settlement_approx,зеленоградск,#38bdf8
2,Приложение 3 / перечень ОС-ОТС,20,"Объект ""Гаражи"" Транспортный участок №2","г. Черняховск, ул. Дачная, 30А",ОС,OS,г. Черняховск,10944505,True,"Из договора 10944505, таблица 2",54.633971,21.818459,settlement_approx,черняховск,#22c55e
2,Приложение 3 / перечень ОС-ОТС,21,ОУС -10,"г. Калининград, Машиностроительная, д.68 к. 34",ОС,OS,г. Калининград,10944505,True,"Из договора 10944505, таблица 2",54.717,20.450118,settlement_approx,калининград,#22c55e
2,Приложение 3 / перечень ОС-ОТС,22,БС-8,"г. Калининград, Сибирякова, д. 4 к. 14",ОС,OS,г. Калининград,10944505,True,"Из договора 10944505, таблица 2",54.701753,20.443906,settlement_approx,калининград,#22c55e
2,Приложение 3 / перечень ОС-ОТС,23,"АТС-""МЕГА-центр""","г. Калининград, Г. Озерова, 17",ОС,OS,г. Калининград,10944505,True,"Из договора 10944505, таблица 2",54.707894,20.457671,settlement_approx,калининград,#22c55e
2,Приложение 3 / перечень ОС-ОТС,24,"АТС ""Мамоново""","г. Мамоново, Центральная, д. 6",ОС,OS,г. Мамоново,10944505,True,"Из договора 10944505, таблица 2",54.4628,19.945359,settlement_approx,мамоново,#22c55e
2,Приложение 3 / перечень ОС-ОТС,25,"АТС ""Мамоново"".","г. Мамоново, Центральная, д. 6",ОС,OS,г. Мамоново,10944505,True,"Из договора 10944505, таблица 2",54.457647,19.945006,settlement_approx,мамоново,#22c55e
2,Приложение 3 / перечень ОС-ОТС,26,"Гараж, дизельная АТС «Ладушкин». АТС ""Ладушкин""","г. Ладушкин, пер. Железнодорожный, д. 2",ОС,OS,г. Ладушкин,10944505,True,"Из договора 10944505, таблица 2",54.576912,20.165082,settlement_approx,ладушкин,#22c55e
2,Приложение 3 / перечень ОС-ОТС,27,"АТС ""Тишино""","Багратионовский ГО п. Тишино, ул. Центральная",ОС,OS,п. Тишино,10944505,True,"Из договора 10944505, таблица 2",54.385959,20.633606,settlement_approx,багратионовск,#22c55e
2,Приложение 3 / перечень ОС-ОТС,28,"АТС ""Долгоруково""","Багратионовский ГО п. Долгоруково, ул. Шанина, д.10 к. 3",ОС,OS,п. Долгоруково,10944505,True,"Из договора 10944505, таблица 2",54.392312,20.640665,settlement_approx,багратионовск,#22c55e
2,Приложение 3 / перечень ОС-ОТС,29,"АТС ""Чехово""","Багратионовский ГО п. Чехово, ул. Центральная, д. 4",ОС,OS,п. Чехово,10944505,True,"Из договора 10944505, таблица 2",54.392171,20.650688,settlement_approx,багратионовск,#22c55e
2,Приложение 3 / перечень ОС-ОТС,30,"АТС ""Славское""","Багратионовский ГО п. Славское, ул. Тхоржевского, д. 4",ОС,OS,п. Славское,10944505,True,"Из договора 10944505, таблица 2",54.390759,20.650759,settlement_approx,багратионовск,#22c55e
2,Приложение 3 / перечень ОС-ОТС,31,"АТС ""Березовка""","Багратионовский ГО п. Березовка, ул. Центральная",ОС,OS,п. Березовка,10944505,True,"Из договора 10944505, таблица 2",54.384124,20.649135,settlement_approx,багратионовск,#22c55e
2,Приложение 3 / перечень ОС-ОТС,32,"АТС ""Надеждино""","Багратионовский ГО п. Надеждино, ул. Советская, д. 7",ОС,OS,п. Надеждино,10944505,True,"Из договора 10944505, таблица 2",54.385535,20.636218,settlement_approx,багратионовск,#22c55e
2,Приложение 3 / перечень ОС-ОТС,33,"АТС ""Озерки""","Гвардейский р-н, п. Озерки",ОС,OS,п. Озерки,10944505,True,"Из договора 10944505, таблица 2",54.656488,21.070988,settlement_approx,гвардейск,#22c55e
2,Приложение 3 / перечень ОС-ОТС,34,"АТС , ЛАЗ ""Гвардейск""","г. Гвардейск, пл. Победы, д. 6а",ОС/ ОТС,OS_OTS,г. Гвардейск,10944505,True,"Из договора 10944505, таблица 2",54.640888,21.059482,settlement_approx,гвардейск,#38bdf8
2,Приложение 3 / перечень ОС-ОТС,35,"АТС ""Малиновка""","Гвардейский р-н, п. Малиновка",ОС,OS,п. Малиновка,10944505,True,"Из договора 10944505, таблица 2",54.640676,21.066682,settlement_approx,гвардейск,#22c55e
2,Приложение 3 / перечень ОС-ОТС,36,"АТС ""Знаменск""","г. Знаменск, ул. Советская, д. 5",ОС,OS,г. Знаменск,10944505,True,"Из договора 10944505, таблица 2",54.611635,21.216565,settlement_approx,знаменск,#22c55e
2,Приложение 3 / перечень ОС-ОТС,37,"АТС ""Борское""","Гвардейский р-н, п. Борское",ОС,OS,п. Борское,10944505,True,"Из договора 10944505, таблица 2",54.653947,21.068306,settlement_approx,гвардейск,#22c55e
2,Приложение 3 / перечень ОС-ОТС,38,"АТС ""Славинск""","Гвардейский р-н, п. Славинск",ОС,OS,п. Славинск,10944505,True,"Из договора 10944505, таблица 2",54.653171,21.058918,settlement_approx,гвардейск,#22c55e
2,Приложение 3 / перечень ОС-ОТС,39,"АТС ""Красный Яр""","Гвардейский р-н, п. Красный Яр",ОС,OS,п. Красный Яр,10944505,True,"Из договора 10944505, таблица 2",54.736529,21.159824,settlement_approx,красный яр,#22c55e
2,Приложение 3 / перечень ОС-ОТС,40,"АТС ""Заречье""","Гвардейский р-н, п. Заречье, ул. Советская, д. 4А",ОС,OS,п. Заречье,10944505,True,"Из договора 10944505, таблица 2",54.641806,21.074235,settlement_approx,гвардейск,#22c55e
2,Приложение 3 / перечень ОС-ОТС,41,"АТС ""Майский""","Гусевский р-н, п. Майский",ОС,OS,п. Майский,10944505,True,"Из договора 10944505, таблица 2",54.710035,20.461776,settlement_approx,майский,#22c55e
2,Приложение 3 / перечень ОС-ОТС,42,"АТС ""Гусев""( 1эт. ЛАЗ) , Дизельная, гаражи","г. Гусев, ул. Тимирязева, д. 5",ОС/ ОТС,OS_OTS,г. Гусев,10944505,True,"Из договора 10944505, таблица 2",54.600459,22.200929,settlement_approx,гусев,#38bdf8
2,Приложение 3 / перечень ОС-ОТС,43,"АТС ""Калиновское""","Гусевский р-н, п. Калиновское, ул. Центральная",ОС,OS,п. Калиновское,10944505,True,"Из договора 10944505, таблица 2",54.584012,22.200365,settlement_approx,гусев,#22c55e
